REG Nº,LOCAL (RELATÓRIO),ESTADO,CIDADE,LATITUDE CENTRAL,LONGITUDE CENTRAL,DATA,HORA,COR RELATÓRIO,COR TAXONOMIA,FORMA (RELATÓRIO),FORMA (TAXONOMIA),TAMANHO APARENTE,MOVIMENTO (RELATÓRIO),MOVIMENTO (TAXONOMIA),SENTIDO,VELOCIDADE,ALTITUDE,DISTÂNCIA,OBSERVADOR(ES),Gênero,NOTA,ANEXO,FONTE,Fonte Filmagem,Teria filmagem?
1,Rod. PA-17 - KM 19 - Município de Santo Antônio do Tauá/PA,PA,Santo Antônio do Tauá,"-1º 9' 10.08""","-48º 7' 58.08""",02 set. 77,22:00,"Amarela, mudando para vermelha",Amarela,"Prato invertido, com um vértice acentuado formando uma figura quase triangular",Prato Invertido,"1,30 a 1,40m","Em zig-zag, no sentido Leste/Oeste",Zig-Zag,Leste/Oeste,"Baixa, no início do deslocamento, aumento gradativo até atingir grande velocidade",30m (estimada),50m (estimada),Sra. Amélia Martins da Silva,Feminino,"A parte inferior (azulada) pareceu à relatora ser transparente. Fazia um leve ruído sibilante (como um dínamo) à distância de 3.000m, ainda sobre a rodovia subiu em alta velocidade. Possuía uma ""lâmpada"" vermelha no ápice inferior.",Cópia de 02 (dois) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
2,Rod. PA-17 - Km 12 - Município de Santo Antônio do Tauá/PA,PA,Santo Antônio do Tauá,"-1º 9' 10.08""","-48º 7' 58.08""",22 set. 77,21:30,"Amarela avermelhada, emitindo foco de luz azulada (dirigido)",Amarela,Indefinida,Indefinida,...,"Voo picado em direção ao Relator, sentido Leste/Oeste",Trajetória Curva,Leste/Oeste,Variável,Baixa,...,Sr. Raimundo Francisco das Chagas,Masculino,"Ruído sibilante, como um dínamo (comparado)",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
3,Colônia Campo Cerrado - Município de Santo Antônio do Tauá/PA,PA,Santo Antônio do Tauá,"-1º 9' 10.08""","-48º 7' 58.08""",12 out. 77,02:00,"Azul, com listras pretas",Azul,"Circular, disposta em duas seções, tendo na parte de cima a de menor diâmetro",Circular,"1,40m (diâmetro)","Ondulante (sentido lateral), de Leste/Oeste",Pendular/Ondulante,Leste/Oeste,Variável,20m (estimada),20m (estimada),Sr. Manoel Matos de Souza,Masculino,"O Relator tentou atirar no OVNI, sendo atingido por um foco de luz (raio) vermelha, produzindo-lhe paralisia, ficando acamado por duas semanas. Ruído sibilante.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
4,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",13 out. 77,03:25,Avermelhada (parte superior) e azul esverdeada (inferior),Avermelhada,Indefinida,Indefinida,50 cm,"Trajetória reta, no sentido Norte/Sul",Trajetória Reta,Norte/Sul,Supersônica,20m (estimada),75m (estimada),Padre Alfredo de La Ó,Masculino,Forte luminosidade sobre a água. O Relator despertou com o alarido dos cães. Não ouviu ruído ou percebeu deslocamento de ar (onda sônica).,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
5,Colônia São Braz - Município de Santo Antônio do Tauá/PA,PA,Santo Antônio do Tauá,"-1º 9' 10.08""","-48º 7' 58.08""",14 out. 77,03:00,"Azul, brilho intenso (solda elétrica)",Azul,Indefinida,Indefinida,...,Pendular (ondulante). Deslocamento de Sudeste/Noroeste,Pendular/Ondulante,Sudeste/Noroeste,Variável. Inicialmente baixa; acelerou,30m (estimada),30m (estimada),Sr. Benedito Ferreira de Figueiredo,Masculino,"O OVNI produziu intensa luminosidade, chegando a iluminar o interior da residência. Deslocou-se vagarosamente ao ganhar altura, depois acelerou, desaparecendo rapidamente. Sem ruído.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
6,Colônia São Braz - Município de Santo Antônio do Tauá/PA,PA,Santo Antônio do Tauá,"-1º 9' 10.08""","-48º 7' 58.08""",14 out. 77,03:00,Azulada (solda elétrica),Azul,Indefinida,Indefinida,...,"Trajetória reta, no sentido Sudeste/Noroeste",Trajetória Reta,Sudeste/Noroeste,Baixa,40m (estimada),30m (estimada),Sr. Elísio de Souza Torres,Masculino,"Ao tentar olhar diretamente para o OVNI teve sensação de dor, desviando o olhar. Não percebeu ruído.",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
7,Paraíso do Ubintuba - Município de Vigia/PA,PA,Vigia,"0º 51' 25.92""","-48º 8' 17.88""",16 out. 77,05:30,"Amarela avermelhada, cauda ou esteira multi-colorida",Amarela,"Circular (como uma arraia), com apêndice na parte traseira",Circular,"1,50m",Variável,Irregular/Variável,Variável,Baixa,5 a 10m (estimada),30 a 40m (estimada),Sr. Raimundo Nonato Barbosa,Masculino,O Relator foi atingido por um foco de luz azulada sofrendo efeitos físicos. Da cauda do OVNI saíam faíscas multi-coloridas. Não percebeu ruído.,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
8,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",16 out. 77,18:30,Cinza (metálica),Cinza,Cilíndrica (ligeiramente cônica),Cilíndrica/Oval,2 a 3m,"Variado, evoluindo em várias direções, rumo Nordeste",Irregular/Variável,Nordeste,Variável,100m (estimada),1.500m (estimada),Dra. Welliade Cecim Carvalho,Feminino,"Movimento ondulante, paradas e voltas rápidas em torno de um eixo (longitudinal). Ausência total de ruído. Metálico.",Cópia de 02 (dois) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
9,Rodovia PA-17 - Km 23 - Campo Cerrado/PA,PA,Santo Antônio do Tauá,"-1º 9' 10.08""","-48º 7' 58.08""",18 out. 77,21:30,Amarela avermelhada,Amarela,Circular,Circular,"1,20m (diâmetro)","Trajetória reta, sentido Nordeste/Sudoeste",Trajetória Reta,Nordeste/Sudoeste,Baixa,30m (estimada),50m (estimada),Sra. Maria das Graças Souza,Feminino,Refere-se a efeitos físicos. Não observou ruído.,Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
10,Município de Colares/PA,PA,Colares,"0º 56' 11.04""","-48º 16' 50.88""",19 out. 77,19:30,"Amarela avermelhada, emitindo focos de luz azulada",Amarela,Indefinida,Indefinida,...,"Trajetória reta, no sentido Norte/Sul",Trajetória Reta,Norte/Sul,Baixa,100m (estimada),100m (estimada),Sr. Antonio Acacio de Oliveira,Masculino,"Luminosidade bastante intensa à distância, mais próximo diminuiu (ponta de cigarro) e lançou 03 (três) focos de luz azul dirigida no rumo da cidade (Residência a 2 Km da cidade).",Cópia de 01 (um) croquis,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
